"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"123",41,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.75495198770659e-11
"124",42,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-8.42277358970023e-11
"125",42,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-8.42277358970023e-11
"126",42,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-8.42277358970023e-11
"127",43,"abs_max_d2",-1.0244,25,1,0.0365009512813631,"none",-0.952859450087077,-1.09594054991292,-0.576000000000001,-1.138,-0.382343394566714,0.0275,25,0.25,1,"skew","gam",8.42877997541875
"128",43,"abs_max_d2",-1.0244,25,NA,0.0365009512813631,"jack_quant",-0.952859450087077,-1.09594054991292,-0.576000000000001,-1.138,-0.382343394566714,0.0275,25,0.25,1,"skew","gam",8.42877997541875
"129",43,"abs_max_d2",-1.0244,25,1,0.0365009512813631,"sim_int",-0.952859450087077,-1.09594054991292,-0.576000000000001,-1.138,-0.382343394566714,0.0275,25,0.25,1,"skew","gam",8.42877997541875
"130",44,"abs_max_d2",0.6425,4,0,0.0975676403550093,"none",0.833729061152375,0.451270938847625,0.85975,0.489,1.28455660543329,0.0275,25,0.25,1,"skew","lm_ns",-1.3997691894474e-11
"131",44,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.3997691894474e-11
"132",44,"abs_max_d2",1.305,2,0,NA,"sim_int",NA,NA,1.97475,0.63525,1.94705660543329,0.0275,25,0.25,1,"skew","lm_ns",-1.3997691894474e-11
"133",45,"abs_max_d2",-0.00999999999999979,1,0,NA,"none",NA,NA,NA,NA,0.632056605433286,0.0275,25,0.25,1,"skew","lm_ns",-7.50191020415514e-11
"134",45,"abs_max_d2",-0.00999999999999979,1,NA,NA,"jack_quant",NA,NA,NA,NA,0.632056605433286,0.0275,25,0.25,1,"skew","lm_ns",-7.50191020415514e-11
"135",45,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-7.50191020415514e-11
"136",46,"abs_max_d2",-0.0899999999999999,1,0,NA,"none",NA,NA,NA,NA,0.552056605433286,0.0275,25,0.25,1,"skew","lm_ns",-8.65156835061498e-11
"137",46,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-8.65156835061498e-11
"138",46,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-8.65156835061498e-11
"139",47,"abs_max_d2",-0.280833333333333,24,1,0.0247170503335181,"none",-0.232388804875574,-0.329277861791092,-0.0682499999999997,-0.48975,0.361223272099953,0.0275,25,0.25,1,"skew","gam_ns",0.384106339402464
"140",47,"abs_max_d2",-0.280833333333333,24,NA,0.0247170503335181,"jack_quant",-0.232388804875574,-0.329277861791092,-0.0682499999999997,-0.48975,0.361223272099953,0.0275,25,0.25,1,"skew","gam_ns",0.384106339402464
"141",47,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.384106339402464
"142",48,"abs_max_d2",-0.29,1,0,NA,"none",NA,NA,NA,NA,0.352056605433286,0.0275,25,0.25,1,"skew","lm_ns",-1.11469944386045e-10
"143",48,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.11469944386045e-10
"144",48,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.11469944386045e-10
