"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","next_mod","aic_diff"
"105",35,"abs_max_d2",-0.115,2,0,NA,"sim_int",NA,NA,0.16525,-0.39525,0.527056605433286,0.0275,25,0.25,1,"skew","gam_DC_ns","gam_DlC",2.24244299573684e-07
"106",36,"abs_max_d2",-0.844,25,1,0.0561001089323561,"none",-0.734045806963808,-0.953954193036192,-0.316000000000002,-0.944,-0.201943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",40.6296137143349
"107",36,"abs_max_d2",-0.89875,24,NA,0.00519242213586791,"jack_quant",-0.88857303962117,-0.90892696037883,-0.84575,-0.94425,-0.256693394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",40.6296137143349
"108",36,"abs_max_d2",-0.89875,24,1,0.00519242213586791,"sim_int",-0.88857303962117,-0.90892696037883,-0.84575,-0.94425,-0.256693394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",40.6296137143349
"109",37,"abs_max_d2",-0.3876,25,1,0.011979148550711,"none",-0.364121300275151,-0.411078699724849,-0.248,-0.444,0.254456605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",14.0900790069568
"110",37,"abs_max_d2",-0.3876,25,NA,0.011979148550711,"jack_quant",-0.364121300275151,-0.411078699724849,-0.248,-0.444,0.254456605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",14.0900790069568
"111",37,"abs_max_d2",-0.3876,25,1,0.011979148550711,"sim_int",-0.364121300275151,-0.411078699724849,-0.248,-0.444,0.254456605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",14.0900790069568
"112",38,"abs_max_d2",-0.806,25,1,0.0257458195096257,"none",-0.755539121008665,-0.856460878991335,-0.548,-0.944,-0.163943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",37.1257502827258
"113",38,"abs_max_d2",-0.806,25,NA,0.0257458195096257,"jack_quant",-0.755539121008665,-0.856460878991335,-0.548,-0.944,-0.163943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",37.1257502827258
"114",38,"abs_max_d2",-0.806,25,1,0.0257458195096257,"sim_int",-0.755539121008665,-0.856460878991335,-0.548,-0.944,-0.163943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",37.1257502827258
"115",39,"abs_max_d2",-0.44,25,1,0.00343592135468137,"none",-0.433265717891112,-0.446734282108887,-0.406,-0.464,0.202056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",65.4003034103117
"116",39,"abs_max_d2",-0.44,25,NA,0.00343592135468137,"jack_quant",-0.433265717891112,-0.446734282108887,-0.406,-0.464,0.202056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",65.4003034103117
"117",39,"abs_max_d2",-0.44,25,1,0.00343592135468137,"sim_int",-0.433265717891112,-0.446734282108887,-0.406,-0.464,0.202056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",65.4003034103117
